Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support
    class21       0.27      0.32      0.29        47
    class22       0.30      0.23      0.26        43
    class23       0.42      0.34      0.37        44
    class24       0.16      0.15      0.15        48
    class25       0.43      0.46      0.44        35
    class26       0.45      0.33      0.38        15
    class27       0.19      0.12      0.15        34
    class28       0.40      0.49      0.44        35
    class29       0.33      0.39      0.36        18

avg / total       0.32      0.32      0.32       951
Cross_val2, PCA_comp:1400MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.50      0.55      0.52        40
     class2       0.17      0.19      0.18        31
     class3       0.29      0.30      0.29        40
     class4       0.43      0.40      0.41        15
     class5       0.36      0.30      0.33        30
     class6       0.60      0.74      0.67        47
     class7       0.22      0.20      0.21        25
     class8       0.50      0.67      0.57        24
     class9       0.05      0.04      0.04        28
    class10       0.37      0.39      0.38        38
    class11       0.16      0.18      0.17        33
    class12       0.19      0.20      0.19        25
    class13       0.14      0.08      0.10        13
    class14       0.15      0.11      0.13        27
    class15       0.63      0.65      0.64        26
    class16       0.37      0.29      0.33        34
    class17       0.46      0.46      0.46        48
    class18       0.15      0.16      0.15        38
    class19       0.23      0.25      0.24        48
    class20       0.16      0.18      0.17        22
    class21       0.30      0.30      0.30        47
    class22       0.19      0.26      0.22        43
    class23       0.38      0.30      0.33        44
    class24       0.26      0.23      0.24        48
    class25       0.39      0.40      0.39        35
    class26       0.27      0.27      0.27        15
    class27       0.19      0.15      0.16        34
    class28       0.40      0.40      0.40        35
    class29       0.14      0.11      0.12        18

avg / total       0.31      0.32      0.31       951
Cross_val3, PCA_comp:100MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.54      0.50      0.52        40
     class2       0.25      0.26      0.25        31
     class3       0.37      0.40      0.39        40
     class4       0.22      0.27      0.24        15
     class5       0.34      0.33      0.34        30
     class6       0.63      0.57      0.60        47
     class7       0.29      0.24      0.26        25
     class8       0.59      0.67      0.63        24
     class9       0.32      0.21      0.26        28
    class10       0.31      0.45      0.37        38
    class11       0.29      0.21      0.25        33
    class12       0.25      0.28      0.26        25
    class13       0.35      0.46      0.40        13
    class14       0.24      0.22      0.23        27
    class15       0.68      0.88      0.77        26
    class16       0.42      0.38      0.40        34
    class17       0.58      0.58      0.58        48
    class18       0.24      0.16      0.19        38
    class19       0.24      0.23      0.23        48
    class20       0.19      0.27      0.23        22
    class21       0.44      0.45      0.44        47
    class22       0.29      0.33      0.31        43
    class23       0.48      0.50      0.49        44
    class24       0.22      0.21      0.22        48
    class25       0.37      0.37      0.37        35
    class26       0.38      0.40      0.39        15
    class27       0.25      0.24      0.24        34
    class28       0.56      0.51      0.54        35
    class29       0.44      0.39      0.41        18

avg / total       0.38      0.38      0.38       951
Cross_val3, PCA_comp:200MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.49      0.50      0.49        40
     class2       0.29      0.23      0.25        31
     class3       0.34      0.38      0.36        40
     class4       0.30      0.20      0.24        15
     class5       0.28      0.17      0.21        30
     class6       0.55      0.66      0.60        47
     class7       0.25      0.28      0.26        25
     class8       0.55      0.67      0.60        24
     class9       0.11      0.11      0.11        28
    class10       0.31      0.32      0.31        38
    class11       0.22      0.24      0.23        33
    class12       0.12      0.12      0.12        25
    class13       0.13      0.15      0.14        13
    class14       0.30      0.30      0.30        27
    class15       0.77      0.88      0.82        26
    class16       0.39      0.41      0.40        34
